From,Protein names,Gene Names,Organism,Length
LOC111127799,phosphoinositide 5-phosphatase (EC 3.1.3.36),LOC111127799,Crassostrea virginica (Eastern oyster),1545
LOC111127799,phosphoinositide 5-phosphatase (EC 3.1.3.36),LOC111127799,Crassostrea virginica (Eastern oyster),1556
LOC111127799,phosphoinositide 5-phosphatase (EC 3.1.3.36),LOC111127799,Crassostrea virginica (Eastern oyster),1549
LOC111127799,phosphoinositide 5-phosphatase (EC 3.1.3.36),LOC111127799,Crassostrea virginica (Eastern oyster),1552
LOC111128396,Transient receptor potential cation channel subfamily M member 1-like isoform X2,LOC111128396,Crassostrea virginica (Eastern oyster),1697
LOC111128396,Transient receptor potential cation channel subfamily M member 1-like isoform X3,LOC111128396,Crassostrea virginica (Eastern oyster),1679
LOC111128396,Transient receptor potential cation channel subfamily M member 1-like isoform X4,LOC111128396,Crassostrea virginica (Eastern oyster),1677
LOC111128396,Transient receptor potential cation channel subfamily M member 3-like isoform X6,LOC111128396,Crassostrea virginica (Eastern oyster),1663
LOC111128396,Transient receptor potential cation channel subfamily M member 1-like isoform X1,LOC111128396,Crassostrea virginica (Eastern oyster),1697
LOC111128396,Transient receptor potential cation channel subfamily M member 1-like isoform X5,LOC111128396,Crassostrea virginica (Eastern oyster),1675
LOC111129221,Serine/threonine-protein kinase ULK4-like isoform X5,LOC111129221,Crassostrea virginica (Eastern oyster),1296
LOC111129221,Serine/threonine-protein kinase ULK4-like isoform X3,LOC111129221,Crassostrea virginica (Eastern oyster),1306
LOC111129221,Serine/threonine-protein kinase ULK4-like isoform X1,LOC111129221,Crassostrea virginica (Eastern oyster),1311
LOC111129221,Serine/threonine-protein kinase ULK4-like isoform X2,LOC111129221,Crassostrea virginica (Eastern oyster),1310
LOC111129221,Serine/threonine-protein kinase ULK4-like isoform X4,LOC111129221,Crassostrea virginica (Eastern oyster),1301
LOC111129264,LOW QUALITY PROTEIN: prospero homeobox protein 1-like,LOC111129264,Crassostrea virginica (Eastern oyster),802
LOC111129890,Serine/threonine protein phosphatase 2A regulatory subunit,LOC111129890,Crassostrea virginica (Eastern oyster),460
LOC111129991,Perlucin-like protein,LOC111129991,Crassostrea virginica (Eastern oyster),168
LOC111130064,LOW QUALITY PROTEIN: semaphorin-1A-like,LOC111130064,Crassostrea virginica (Eastern oyster),777
LOC111130065,LOW QUALITY PROTEIN: protein SMG5-like,LOC111130065,Crassostrea virginica (Eastern oyster),1094
LOC111130101,TATA-box-binding protein-like,LOC111130101,Crassostrea virginica (Eastern oyster),444
LOC111130344,Nuclear factor erythroid 2-related factor 2-like isoform X2,LOC111130344,Crassostrea virginica (Eastern oyster),694
LOC111130344,Nuclear factor erythroid 2-related factor 2-like isoform X1,LOC111130344,Crassostrea virginica (Eastern oyster),855
LOC111130626,LOW QUALITY PROTEIN: fermitin family homolog 2-like,LOC111130626,Crassostrea virginica (Eastern oyster),698
LOC111130702,LOW QUALITY PROTEIN: codanin-1-like,LOC111130702,Crassostrea virginica (Eastern oyster),1479
LOC111130714,Spidroin-1-like isoform X1 (Spidroin-1-like isoform X2),LOC111130714,Crassostrea virginica (Eastern oyster),361
LOC111130720,Mucin-3A-like isoform X1,LOC111130720,Crassostrea virginica (Eastern oyster),524
LOC111130720,Mucin-3A-like isoform X2,LOC111130720,Crassostrea virginica (Eastern oyster),519
LOC111130720,Uncharacterized protein LOC111130720 isoform X3,LOC111130720,Crassostrea virginica (Eastern oyster),490
LOC111131099,Protein unc-13 homolog A-like isoform X2,LOC111131099,Crassostrea virginica (Eastern oyster),1798
LOC111131099,Protein unc-13 homolog A-like isoform X7,LOC111131099,Crassostrea virginica (Eastern oyster),1794
LOC111131099,Protein unc-13 homolog A-like isoform X12,LOC111131099,Crassostrea virginica (Eastern oyster),1790
LOC111131099,Protein unc-13 homolog A-like isoform X16,LOC111131099,Crassostrea virginica (Eastern oyster),1783
LOC111131099,Protein unc-13 homolog A-like isoform X21,LOC111131099,Crassostrea virginica (Eastern oyster),1759
LOC111131099,Protein unc-13 homolog A-like isoform X5,LOC111131099,Crassostrea virginica (Eastern oyster),1796
LOC111131099,Protein unc-13 homolog A-like isoform X10,LOC111131099,Crassostrea virginica (Eastern oyster),1793
LOC111131099,Protein unc-13 homolog A-like isoform X19,LOC111131099,Crassostrea virginica (Eastern oyster),1773
LOC111131099,Protein unc-13 homolog A-like isoform X3,LOC111131099,Crassostrea virginica (Eastern oyster),1798
LOC111131099,Protein unc-13 homolog A-like isoform X8,LOC111131099,Crassostrea virginica (Eastern oyster),1794
LOC111131099,Protein unc-13 homolog A-like isoform X13,LOC111131099,Crassostrea virginica (Eastern oyster),1786
LOC111131099,Protein unc-13 homolog A-like isoform X17,LOC111131099,Crassostrea virginica (Eastern oyster),1783
LOC111131099,Protein unc-13 homolog A-like isoform X22,LOC111131099,Crassostrea virginica (Eastern oyster),1756
LOC111131099,Protein unc-13 homolog A-like isoform X4,LOC111131099,Crassostrea virginica (Eastern oyster),1796
LOC111131099,Protein unc-13 homolog A-like isoform X9,LOC111131099,Crassostrea virginica (Eastern oyster),1793
LOC111131099,Protein unc-13 homolog A-like isoform X14,LOC111131099,Crassostrea virginica (Eastern oyster),1786
LOC111131099,Protein unc-13 homolog A-like isoform X18,LOC111131099,Crassostrea virginica (Eastern oyster),1774
LOC111131099,Protein unc-13 homolog A-like isoform X1,LOC111131099,Crassostrea virginica (Eastern oyster),1798
LOC111131099,Protein unc-13 homolog A-like isoform X6,LOC111131099,Crassostrea virginica (Eastern oyster),1795
LOC111131099,Protein unc-13 homolog A-like isoform X11,LOC111131099,Crassostrea virginica (Eastern oyster),1790
LOC111131099,Protein unc-13 homolog A-like isoform X15,LOC111131099,Crassostrea virginica (Eastern oyster),1785
LOC111131099,Protein unc-13 homolog A-like isoform X20,LOC111131099,Crassostrea virginica (Eastern oyster),1764
LOC111131406,RNA-binding protein Nova-1-like isoform X3,LOC111131406,Crassostrea virginica (Eastern oyster),589
LOC111131406,RNA-binding protein Nova-1-like isoform X7,LOC111131406,Crassostrea virginica (Eastern oyster),576
LOC111131406,RNA-binding protein Nova-1-like isoform X1,LOC111131406,Crassostrea virginica (Eastern oyster),598
LOC111131406,RNA-binding protein Nova-1-like isoform X6,LOC111131406,Crassostrea virginica (Eastern oyster),577
LOC111131406,RNA-binding protein Nova-1-like isoform X4,LOC111131406,Crassostrea virginica (Eastern oyster),583
LOC111131406,RNA-binding protein Nova-1-like isoform X8,LOC111131406,Crassostrea virginica (Eastern oyster),568
LOC111131406,RNA-binding protein Nova-1-like isoform X5,LOC111131406,Crassostrea virginica (Eastern oyster),582
LOC111131406,RNA-binding protein Nova-1-like isoform X9,LOC111131406,Crassostrea virginica (Eastern oyster),588
LOC111131406,RNA-binding protein Nova-1-like isoform X2,LOC111131406,Crassostrea virginica (Eastern oyster),597
LOC111132132,Nucleolar protein 14-like,LOC111132132,Crassostrea virginica (Eastern oyster),884
LOC111132812,Uncharacterized protein LOC111132812 isoform X1,LOC111132812,Crassostrea virginica (Eastern oyster),400
LOC111132812,Uncharacterized protein LOC111132812 isoform X4,LOC111132812,Crassostrea virginica (Eastern oyster),367
LOC111132812,Uncharacterized protein LOC111132812 isoform X3,LOC111132812,Crassostrea virginica (Eastern oyster),374
LOC111132812,Uncharacterized protein LOC111132812 isoform X2,LOC111132812,Crassostrea virginica (Eastern oyster),393
LOC111132882,Uncharacterized protein LOC111132882,LOC111132882,Crassostrea virginica (Eastern oyster),151
LOC111134104,Carbonic anhydrase (EC 4.2.1.1),LOC111134104,Crassostrea virginica (Eastern oyster),311
LOC111134195,Thyrotropin-releasing hormone receptor (Thyroliberin receptor),LOC111134195,Crassostrea virginica (Eastern oyster),369
LOC111134195,Thyrotropin-releasing hormone receptor (Thyroliberin receptor),LOC111134195,Crassostrea virginica (Eastern oyster),343
LOC111134518,Carbohydrate sulfotransferase 15-like isoform X1,LOC111134518,Crassostrea virginica (Eastern oyster),574
LOC111134518,Carbohydrate sulfotransferase 15-like isoform X2,LOC111134518,Crassostrea virginica (Eastern oyster),569
LOC111134663,Clathrin heavy chain 2-like,LOC111134663,Crassostrea virginica (Eastern oyster),366
LOC111135296,Circadian locomoter output cycles protein kaput-like,LOC111135296,Crassostrea virginica (Eastern oyster),753
LOC111135587,Phosphatidylinositide phosphatase SAC2-like,LOC111135587,Crassostrea virginica (Eastern oyster),1008
LOC111135721,"Inositol 1,4,5-trisphosphate receptor",LOC111135721,Crassostrea virginica (Eastern oyster),2856
LOC111135721,"Inositol 1,4,5-trisphosphate receptor",LOC111135721,Crassostrea virginica (Eastern oyster),2857
LOC111135721,"Inositol 1,4,5-trisphosphate receptor",LOC111135721,Crassostrea virginica (Eastern oyster),2856
LOC111135721,"Inositol 1,4,5-trisphosphate receptor",LOC111135721,Crassostrea virginica (Eastern oyster),2812
LOC111135721,"Inositol 1,4,5-trisphosphate receptor",LOC111135721,Crassostrea virginica (Eastern oyster),2854
LOC111135721,"Inositol 1,4,5-trisphosphate receptor",LOC111135721,Crassostrea virginica (Eastern oyster),2867
LOC111135721,"Inositol 1,4,5-trisphosphate receptor",LOC111135721,Crassostrea virginica (Eastern oyster),2847
LOC111135972,Protein FAM160B1-like isoform X4,LOC111135972,Crassostrea virginica (Eastern oyster),776
LOC111135972,Protein FAM160B1-like isoform X3,LOC111135972,Crassostrea virginica (Eastern oyster),786
LOC111135972,Protein FAM160B1-like isoform X2,LOC111135972,Crassostrea virginica (Eastern oyster),789
LOC111135972,Protein FAM160B1-like isoform X1,LOC111135972,Crassostrea virginica (Eastern oyster),799
LOC111136261,227 kDa spindle- and centromere-associated protein-like isoform X1,LOC111136261,Crassostrea virginica (Eastern oyster),3245
LOC111136261,227 kDa spindle- and centromere-associated protein-like isoform X6,LOC111136261,Crassostrea virginica (Eastern oyster),3235
LOC111136261,227 kDa spindle- and centromere-associated protein-like isoform X2,LOC111136261,Crassostrea virginica (Eastern oyster),3245
LOC111136261,227 kDa spindle- and centromere-associated protein-like isoform X3,LOC111136261,Crassostrea virginica (Eastern oyster),3245
LOC111136261,Centrosomal protein of 290 kDa-like isoform X10,LOC111136261,Crassostrea virginica (Eastern oyster),3048
LOC111136261,227 kDa spindle- and centromere-associated protein-like isoform X7,LOC111136261,Crassostrea virginica (Eastern oyster),3222
LOC111136261,227 kDa spindle- and centromere-associated protein-like isoform X8,LOC111136261,Crassostrea virginica (Eastern oyster),3200
LOC111136261,Major antigen-like isoform X11,LOC111136261,Crassostrea virginica (Eastern oyster),2983
LOC111136261,227 kDa spindle- and centromere-associated protein-like isoform X4,LOC111136261,Crassostrea virginica (Eastern oyster),3245
LOC111136261,Major antigen-like isoform X12,LOC111136261,Crassostrea virginica (Eastern oyster),2840
LOC111136261,227 kDa spindle- and centromere-associated protein-like isoform X5,LOC111136261,Crassostrea virginica (Eastern oyster),3244
LOC111136261,227 kDa spindle- and centromere-associated protein-like isoform X9,LOC111136261,Crassostrea virginica (Eastern oyster),3189
LOC111136420,Gamma-glutamyltranspeptidase 1-like,LOC111136420,Crassostrea virginica (Eastern oyster),619
LOC111136699,"Neuroligin-4, Y-linked-like isoform X4",LOC111136699,Crassostrea virginica (Eastern oyster),887
LOC111136699,"Neuroligin-4, Y-linked-like isoform X3",LOC111136699,Crassostrea virginica (Eastern oyster),889
LOC111136699,"Neuroligin-4, X-linked-like isoform X1",LOC111136699,Crassostrea virginica (Eastern oyster),913
LOC111136699,"Neuroligin-4, Y-linked-like isoform X5",LOC111136699,Crassostrea virginica (Eastern oyster),886
LOC111136699,"Neuroligin-4, X-linked-like isoform X2",LOC111136699,Crassostrea virginica (Eastern oyster),908
LOC111136699,Neuroligin-2-like isoform X6,LOC111136699,Crassostrea virginica (Eastern oyster),881
LOC111136960,Guanylate cyclase (EC 4.6.1.2),LOC111136960,Crassostrea virginica (Eastern oyster),1477
LOC111136960,Guanylate cyclase (EC 4.6.1.2),LOC111136960,Crassostrea virginica (Eastern oyster),1561
LOC111136960,Guanylate cyclase (EC 4.6.1.2),LOC111136960,Crassostrea virginica (Eastern oyster),1153
LOC111137079,Polypyrimidine tract-binding protein homolog 3-like,LOC111137079,Crassostrea virginica (Eastern oyster),352
LOC111137126,Ubiquitin carboxyl-terminal hydrolase MINDY (EC 3.4.19.12),LOC111137126,Crassostrea virginica (Eastern oyster),482
LOC111137126,Ubiquitin carboxyl-terminal hydrolase MINDY (EC 3.4.19.12),LOC111137126,Crassostrea virginica (Eastern oyster),474
LOC111137126,Ubiquitin carboxyl-terminal hydrolase MINDY (EC 3.4.19.12),LOC111137126,Crassostrea virginica (Eastern oyster),473
LOC111137295,LOW QUALITY PROTEIN: chromodomain-helicase-DNA-binding protein 8-like,LOC111137295,Crassostrea virginica (Eastern oyster),3360
LOC111137531,Uncharacterized protein LOC111137531,LOC111137531,Crassostrea virginica (Eastern oyster),309
LOC111137712,Solute carrier family 35 member C2-like,LOC111137712,Crassostrea virginica (Eastern oyster),384
LOC111137922,Neuronal acetylcholine receptor subunit alpha-7-like,LOC111137922,Crassostrea virginica (Eastern oyster),465
LOC111137981,Uncharacterized protein LOC111137981,LOC111137981,Crassostrea virginica (Eastern oyster),589
LOC111138053,Caspase-2-like,LOC111138053,Crassostrea virginica (Eastern oyster),427
LOC111138384,"Leucine-, glutamate- and lysine-rich protein 1-like",LOC111138384,Crassostrea virginica (Eastern oyster),705
LOC111138435,Ribosome maturation protein SBDS,LOC111138435,Crassostrea virginica (Eastern oyster),251
